Pos.,Countries,Global score,With abuses,Without abuses.,Score 2020,Dif. Position 2020
167,Azerbaijan,41.23,49.76,41.23,41.52,1
168,Bahrain,38.9,35.09,39.89,39.87,1
169,Yemen,37.65,46.67,37.65,41.75,-2
170,Saudi Arabia,37.27,28.93,38.85,37.86,0
171,Cuba,36.06,100.0,36.07,36.19,0
172,Laos,29.44,42.47,29.44,35.72,0
173,Syria,29.37,17.41,31.89,27.43,1
174,Iran,27.3,32.61,29.89,35.19,-1
175,Vietnam,21.54,31.96,24.82,25.29,0
176,Djibouti,21.38,89.01,21.38,23.27,0
177,China,21.28,18.23,21.9,21.52,0
178,Turkmenistan,19.97,100.0,19.97,14.56,1
179,North Korea,18.72,48.07,18.72,14.18,1
180,Eritrea,18.55,26.95,17.95,16.5,-2
